"","ID","dialect","diaClass_hanna","place","GID","generation","informant","type","progess_lvl","PAM","PAM_add","CTR","CTR_add"
"339",172,"Ostfälisch","südliches Niederdeutsch","Northeim","107905","jung","NOMJUNG","NoSo","3",0.9,"PL",0.38,"CK"
"343",173,"Ripuarisch","Westdeutsch","Bergisch-Gladbach","135950","alt","GLALT1","NoSo","3",0.79,"?",0.6,NA
"344",174,"Ripuarisch","Westdeutsch","Bergisch-Gladbach","135950","mittel","GL3","NoSo","3",0.73,"?",0.6,NA
"345",175,"Ripuarisch","Westdeutsch","Bergisch-Gladbach","135950","jung","GLJUNG1","NoSo","3",0.94,"PL",0.7,NA
"349",176,"Ripuarisch","Westdeutsch","Troisdorf","134279","alt","SUALT","NoSo","3",1.42,"?",1,NA
"350",177,"Ripuarisch","Westdeutsch","Troisdorf","134279","mittel","SU1","NoSo","3",0.66,"?",0.6,NA
"351",178,"Ripuarisch","Westdeutsch","Troisdorf","134279","jung","SUJUNG2","NoSo","3",0.67,"PL",0.7,NA
"352",179,"Ripuarisch-Niederfränkisch","Westdeutsch","Krefeld","135092","alt","KRALT3","NoSo","3",1.25,"?",0.9,NA
"353",180,"Ripuarisch-Niederfränkisch","Westdeutsch","Krefeld","135092","mittel","KR5","NoSo","3",1.07,"?",0.8,NA
"354",181,"Ripuarisch-Niederfränkisch","Westdeutsch","Krefeld","135092","jung","KRJUNG1","NoSo","3",0.79,"PL",0.7,NA
"355",182,"Ripuarisch-Niederfränkisch","Westdeutsch","Mönchengladbach","136187","alt","MGALT","NoSo","3",1.13,"?",0.8,NA
"356",183,"Ripuarisch-Niederfränkisch","Westdeutsch","Mönchengladbach","136187","mittel","MG6","NoSo","3",1.09,"?",0.8,NA
"357",184,"Ripuarisch-Niederfränkisch","Westdeutsch","Mönchengladbach","136187","jung","MGJUNG1","NoSo","3",0.82,"PL",0.6,NA
"364",185,"Moselfränkisch","Westdeutsch","Wittlich","100001","alt","WITALT1","NoSo","3",0.8,"?",0.5,NA
"366",186,"Moselfränkisch","Westdeutsch","Wittlich","100001","jung","WITJUNG2","NoSo","3",0.82,"?",0.5,NA
"373",187,"Rheinfränkisch","westliches Mitteldeutsch","Kaiserslautern","100327","mittel","KL3","NoSo","3",1.09,"MA",0.8,"CK"
"374",188,"Rheinfränkisch","westliches Mitteldeutsch","Kaiserslautern","100327","alt","KLALT1","NoSo","3",1.44,"MA",0.96,"CK"
"375",189,"Rheinfränkisch","westliches Mitteldeutsch","Kaiserslautern","100327","jung","KLJUNG1","NoSo","3",0.9,"MA",0.49,"CK"
"376",190,"Rheinfränkisch","westliches Mitteldeutsch","Erbach","98214","alt","ERBALT1","NoSo","3",1.53,"PL",1.3,NA
"377",191,"Rheinfränkisch","westliches Mitteldeutsch","Erbach","98214","mittel","ERB2","NoSo","3",1.07,"PL",1,NA
"378",192,"Rheinfränkisch","westliches Mitteldeutsch","Erbach","98214","jung","ERBJUNG1","NoSo","3",1.21,"PL",0.7,NA
"379",193,"Rheinfränkisch","westliches Mitteldeutsch","Reinheim","99678","alt","DAALT2","NoSo","3",1.36,"?",1.2,NA
"380",194,"Rheinfränkisch","westliches Mitteldeutsch","Reinheim","99678","mittel","DA1","NoSo","3",0.94,"PL",0.9,NA
"381",195,"Rheinfränkisch","westliches Mitteldeutsch","Reinheim","99678","jung","DAJUNG1","NoSo","3",0.7,"?",0.7,NA
"388",196,"Rheinfränkisch-Moselfränkisch-Zentralhessisch","westliches Mitteldeutsch","Mainz","95700","mittel","MZ7","NoSo","2",0.8,"?",0.55,"?"
"389",197,"Rheinfränkisch-Moselfränkisch-Zentralhessisch","westliches Mitteldeutsch","Mainz","95700","alt","MZALT1","NoSo","2",1.04,"?",0.38,"?"
"390",198,"Rheinfränkisch-Moselfränkisch-Zentralhessisch","westliches Mitteldeutsch","Mainz","95700","jung","MZJUNG1","NoSo","2",0.58,"PL",0.32,"?"
